order_id,product_name,phone,order_date,order_time,payment_mode,amount
100033,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100034,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100035,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100036,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100037,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100038,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100039,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100040,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100041,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100042,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100043,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100044,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100045,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100046,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100047,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100048,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100049,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100050,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100051,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100052,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100053,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100054,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100055,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100056,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100057,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100058,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100059,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100060,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100061,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100062,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100063,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100064,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100065,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100066,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100067,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100068,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100069,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100070,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100071,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100072,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100073,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100074,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100075,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100076,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100077,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100078,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100079,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100080,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100081,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100082,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100083,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100084,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100085,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100086,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100087,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100088,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100089,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100090,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100091,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100092,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100093,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100094,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100095,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100096,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100097,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100098,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100099,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100100,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100101,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100102,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100103,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100104,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100105,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100106,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100107,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100108,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100109,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100110,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100111,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100112,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100113,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100114,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100115,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100116,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100117,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100118,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100119,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100120,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100121,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100122,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100123,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100124,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100125,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100126,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100127,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100128,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100129,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100130,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100131,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100132,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100133,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100134,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100135,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100136,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100137,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100138,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100139,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100140,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100141,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100142,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100143,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100144,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100145,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100146,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100147,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100148,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100149,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100150,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100151,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100152,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100153,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100154,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100155,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100156,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100157,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100158,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100159,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100160,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100161,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100162,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100163,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100164,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100165,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100166,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100167,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100168,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100169,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100170,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100171,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100172,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100173,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100174,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100175,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100176,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100177,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100178,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100179,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100180,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100181,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100182,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100183,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100184,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100185,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100186,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100187,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100188,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100189,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100190,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100191,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100192,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100193,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100194,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100195,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100196,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100197,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100198,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100199,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100200,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100201,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100202,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100203,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100204,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100205,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100206,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100207,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100208,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100209,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100210,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100211,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100212,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100213,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100214,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100215,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100216,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100217,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100218,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100219,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100220,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100221,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100222,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100223,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100224,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100225,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100226,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100227,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100228,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100229,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100230,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100231,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100232,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100233,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100234,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100235,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100236,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100237,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100238,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100239,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100240,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100241,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100242,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100243,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100244,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100245,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100246,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100247,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100248,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100249,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100250,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100251,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100252,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100253,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100254,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100255,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100256,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100257,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100258,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100259,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100260,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100261,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100262,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100263,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100264,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100265,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100266,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100267,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100268,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100269,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100270,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100271,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100272,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100273,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100274,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100275,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100276,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100277,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100278,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100279,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100280,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100281,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100282,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100283,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100284,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100285,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100286,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100287,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100288,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100289,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100290,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100291,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100292,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100293,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100294,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100295,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100296,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100297,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100298,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100299,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100300,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100301,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100302,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100303,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100304,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100305,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100306,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100307,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100308,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100309,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100310,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100311,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100312,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100313,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100314,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100315,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100316,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100317,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100318,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100319,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100320,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100321,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100322,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100323,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100324,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100325,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100326,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100327,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100328,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100329,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100330,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100331,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100332,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100333,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100334,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100335,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100336,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100337,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100338,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100339,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100340,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100341,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100342,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100343,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100344,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100345,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100346,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100347,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100348,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100349,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100350,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100351,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100352,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100353,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100354,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100355,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100356,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100357,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100358,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100359,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100360,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100361,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100362,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100363,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100364,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100365,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100366,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100367,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100368,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100369,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100370,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100371,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100372,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100373,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100374,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100375,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100376,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100377,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100378,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100379,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100380,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100381,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100382,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100383,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100384,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100385,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100386,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100387,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100388,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100389,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100390,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100391,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100392,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100393,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100394,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100395,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100396,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100397,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100398,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100399,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100400,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100401,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100402,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100403,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100404,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100405,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100406,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100407,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100408,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100409,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100410,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100411,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100412,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100413,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100414,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100415,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
